symbol,datetime,headline,source,url,date
AAPL,2026-01-27 11:23:40,"Stock Index Futures Gain on Tech Boost, FOMC Meeting and Earnings in Focus",Yahoo,https://finnhub.io/api/news?id=b40017e1db9dc28ef571d1c42565a217a65a067bc271a7cb067336b5a3585b99,2026-01-27
AAPL,2026-01-27 10:58:00,"Tech, Media & Telecom Roundup: Market Talk",Yahoo,https://finnhub.io/api/news?id=6e49f984569c2c305ec9a9a806c12a6fbda9dba2233491e95c8e8a6c9300914b,2026-01-27
AAPL,2026-01-27 09:40:40,"Apple: I Love The Valuation, But Not The Product Technology Path",SeekingAlpha,https://finnhub.io/api/news?id=143687e72239b05550ae1264c6e272cd2ee4d92d43cd6a8255b3a04daf01fe35,2026-01-27
AAPL,2026-01-27 09:28:22,"Trending tickers: Apple, CoreWeave, ASML, Salesforce and Dr Martens",Yahoo,https://finnhub.io/api/news?id=391147d303f325a80d11431ae1b4c4302df5882d166670bee805b9bfccb331eb,2026-01-27
AAPL,2026-01-27 09:26:06,Bitcoin Rises on Optimism Over Upcoming Big Tech Earnings,Yahoo,https://finnhub.io/api/news?id=2f2c77155414e164c6cd680ac6c3a8e3a1a06cfd89e306c1ad080f1eb66008d5,2026-01-27
AAPL,2026-01-27 09:11:25,FTSE 100 LIVE: Stocks mixed as India and EU strike landmark trade deal,Yahoo,https://finnhub.io/api/news?id=603361e644bc3e6f1e713797ba988dabfa15a3ccd731b5c472f44d8671747539,2026-01-27
AAPL,2026-01-27 09:00:36,Jim Cramer's top 10 things to watch in the stock market Tuesday,CNBC,https://finnhub.io/api/news?id=19d61e0749bd0ce0587bc1c3eca2f1d3c3d6af80688fb58ec822af4c238e4522,2026-01-27
AAPL,2026-01-27 08:40:00,"Aletheia Maintains Sell on Apple (AAPL), Lowers Target Price",Yahoo,https://finnhub.io/api/news?id=5d790e060ad7fe5d9f4a8cac4318c419c62e29f9026eab280bfb0ecf3ca2b404,2026-01-27
AAPL,2026-01-27 08:15:02,"Meta Earnings, Fed Decision, Venezuela Testimony: What to Watch This Week",Yahoo,https://finnhub.io/api/news?id=be072e490655b9f2576b5e65f6388db36f9640479de4f33dc798cd414e2cc1c5,2026-01-27
AAPL,2026-01-27 08:10:00,Forget SoundHound AI: This Tech King Is the Real Voice-and-AI Cash Cow Worth Betting On,Yahoo,https://finnhub.io/api/news?id=4e173ee5629ba6a2b82bcf858952087287176136f7005c1745b92f9ad2b873ac,2026-01-27
AAPL,2026-01-27 07:30:01,Meta inks deal to pay Corning up to $6 billion for fiber-optic cables in AI data centers,CNBC,https://finnhub.io/api/news?id=2ec1b379b9daecb6fee9801ebb0810bfc8d703e2302106437599018aa92606e3,2026-01-27
AAPL,2026-01-27 07:29:01,How 175-year-old glass company Corning won a $6 billion AI infrastructure deal with Meta,CNBC,https://finnhub.io/api/news?id=5babb7604f52edbba59d3f56444c2239640f19459db3692f64129abeb2596960,2026-01-27
AAPL,2026-01-27 07:00:05,"If You Invested $1,000 in Apple vs. Bitcoin in 2015, Here’s Which One Made You Richer",Yahoo,https://finnhub.io/api/news?id=1d66d0bd02713aff665f9c69d3ac6da0e3ff386565a9315c597245cbfb87019f,2026-01-27
AAPL,2026-01-27 07:00:01,"Apple, Google host dozens of AI ‘nudify’ apps like Grok, report finds",CNBC,https://finnhub.io/api/news?id=b64b7034892fdc2a8a4f0818d3937fd9e332b227ffa592f663d64f4d20aa20e5,2026-01-27
AAPL,2026-01-27 06:49:00,"The Zacks Analyst Blog Microsoft, Apple, Meta and Tesla",Yahoo,https://finnhub.io/api/news?id=d844b1dde78016a94cc99b439e32061a0c418bf495ab3554b73f0c577e351df7,2026-01-27
AAPL,2026-01-27 06:01:45,ASML rides Nvidia's coattails with lasers and huge chip 'printers',Yahoo,https://finnhub.io/api/news?id=4341b060d93951b21ac3a3e044d9bca7c0efa638ae3e643138646baa535362d8,2026-01-27
AAPL,2026-01-27 06:00:53,Pros and cons of downsizing when you retire,Yahoo,https://finnhub.io/api/news?id=7ec0810677d451749eff86a569b329afda3c7bc8a74018ddc0646ad162b038d8,2026-01-27
AAPL,2026-01-27 06:00:01,Tech's massive AI spend is under scrutiny ahead of earnings. Here's what to watch,CNBC,https://finnhub.io/api/news?id=d30ed8ccb9f03f2599969928bf4f2dda693b6e919e8da2b156ab2b7b41af225b,2026-01-27
AAPL,2026-01-27 06:00:00,Shop price inflation 'defies expectations' to jump to 1.5% in January,Yahoo,https://finnhub.io/api/news?id=cfdcf201c63f90001c007eccd52b6303751e2f9abda8a2926177be5d05958649,2026-01-27
AAPL,2026-01-27 06:00:00,Palantir and 5 More Stocks to Play Trump’s Plan to Invest in America,Yahoo,https://finnhub.io/api/news?id=5baf85fd04b35bf572c0ca0beb6f8db2310e3bcecc0eb37a344f52bfc22c1013,2026-01-27
AAPL,2026-01-27 04:09:00,Morgan Stanley resets Apple stock forecast ahead of earnings,Yahoo,https://finnhub.io/api/news?id=8a5c88de4b299a04e04370a90db8477903109b02e0129d974cce6a43a0b1c34b,2026-01-27
AAPL,2026-01-27 02:55:00,A New Era in Options Trading! Moomoo Partners with Nasdaq to Deliver Monday & Wednesday Expirations for Greater Flexibility and Opportunity,Yahoo,https://finnhub.io/api/news?id=d15882639340391aa801e3264cc90f5a9ba7fbac4af613bd6568be2975cec75a,2026-01-27
AAPL,2026-01-27 02:34:33,Jim Cramer Expects Western Digital’s Quarter to Be “Very Positive”,Yahoo,https://finnhub.io/api/news?id=0a75c47ad28f0f16dc92d6c1c11ae87a25bd6665c8e5b26ae14b4c0d51c8bcc8,2026-01-27
AAPL,2026-01-27 02:33:23,"Jim Cramer Says Sandisk Is “Up Huge, Way Too Much for Me”",Yahoo,https://finnhub.io/api/news?id=d4a61386237748fa9056809423f333b48b58db81fc6b4e28ea33692c908bd681,2026-01-27
AAPL,2026-01-27 02:33:22,"Jim Cramer Says “I’m Not Changing My View, I Say, Own Apple, Don’t Trade It”",Yahoo,https://finnhub.io/api/news?id=33c695ecd34ad7550ce4b30e98e4820157f2a8e7b1ff34b23e6f06f55d44aeaa,2026-01-27
AAPL,2026-01-27 02:04:10,"Stocks up as earnings hopes offset Trump's Korea tariff move, dollar wobbles",Yahoo,https://finnhub.io/api/news?id=eb3fd7f9f6f1022ba8a163003e6b471d200c144249d45eb7d474512c2bd1e16e,2026-01-27
AAPL,2026-01-27 00:55:00,Review & Preview: Another Swing at 7K,Yahoo,https://finnhub.io/api/news?id=8d1d4456b961f4aaf1a4d7c92727e8ff4afcb8420a8dc4f8e8f27ca7d22f9646,2026-01-27
AAPL,2026-01-27 00:43:35,Google pays $68M to settle claims its voice assistant spied on users,Yahoo,https://finnhub.io/api/news?id=adb00cf316a647051a5b664c6c9b6dad90708389262233a2d6c4374e90fbec9d,2026-01-27
AAPL,2026-01-26 23:57:06,"Stock market today: S&P 500, Nasdaq futures rise as Dow lags with Fed meeting, GM earnings on deck",Yahoo,https://finnhub.io/api/news?id=ae062b61506ac6c35a7aca4b45a840b6a0fe9ad90a378f413671cef1c91541ac,2026-01-26
AAPL,2026-01-26 23:57:06,"Stock market today: Dow, S&P 500, Nasdaq futures rise with Fed meeting, Big Tech earnings on deck",Yahoo,https://finnhub.io/api/news?id=07c26da7334ac0d191a6276349a77def37a4c846c3bb5ebee19ba3e1323c4cf0,2026-01-26
AAPL,2026-01-26 23:57:06,"Stock market today: Dow, S&P 500, Nasdaq futures mixed with Fed meeting, Big Tech earnings on deck",Yahoo,https://finnhub.io/api/news?id=460fe4a507aafa4886ad2778b588c688672fc67b1abe368acf208c4d25ce6fd1,2026-01-26
AAPL,2026-01-26 23:15:12,Should Apple’s New Creator Studio Bundle Reshape How Investors View AAPL’s Services Ecosystem Strategy?,Yahoo,https://finnhub.io/api/news?id=07d1f0013d11bf7a095049d2324d9c86da4d31e5a83581230ed76793a5be0353,2026-01-26
AAPL,2026-01-26 21:37:16,Stock Market Today: Dow Up Despite Schumer Shutdown Call; Michael Burry Boosts GameStop (Live Coverage),Yahoo,https://finnhub.io/api/news?id=f9c70d672391937f91f5aa4fe452a00dc238cc4b29fe3115fbd692b554c9a923,2026-01-26
AAPL,2026-01-26 21:05:32,"Stock market today: Dow, S&P 500, Nasdaq rise to kick off key week with Big Tech earnings, Fed decision",Yahoo,https://finnhub.io/api/news?id=fdef171cf425ae802c31823d67b467a04acfca43eb0b78bf9d3c343bb1a954ab,2026-01-26
AAPL,2026-01-26 20:55:43,"Apple (AAPL) Stock Trades Up, Here Is Why",Yahoo,https://finnhub.io/api/news?id=7d9c56ce521183ced10f185eaa7c390f8b01c155e059033c8ecb8137de572970,2026-01-26
AAPL,2026-01-26 20:50:00,Apple Vs Microsoft: Which is the Best Tech Investment as Quarterly Results Approach?,Yahoo,https://finnhub.io/api/news?id=0df4b6f59b5c6f3fd855603034ad33aa5c4e276e36efd7e0e09aef0d8e59d088,2026-01-26
AAPL,2026-01-26 19:59:31,Why Shares of Apple Are Rising Today,Yahoo,https://finnhub.io/api/news?id=71c478f11a3e84c097f4cc7fd2d59620f0e5b762cac47af3c27a9159c912fe81,2026-01-26
AAPL,2026-01-26 19:22:28,Apple Stock Climbs After Ahead of Q1 Earnings,Yahoo,https://finnhub.io/api/news?id=5973809c43a4426d202430fff53665e3fcf139ac9cf0028943595dbf53a8ec4b,2026-01-26
AAPL,2026-01-26 18:55:00,Apple Stock Is Climbing. Earnings Could Be a Good Surprise.,Yahoo,https://finnhub.io/api/news?id=bfd46221b3cc6817acaafe65e44ea59e538552e5873f84f457ed842f5ee43b37,2026-01-26
AAPL,2026-01-26 18:33:03,Market Movers: iShares Silver Trust Up 12%,Yahoo,https://finnhub.io/api/news?id=cd37ab6daa95156e050f8d554b5e44b63add924b01823728e6cd3f9db6dd78c0,2026-01-26
AAPL,2026-01-26 18:12:35,"Stock Market Today: Dow, Nasdaq rise as investors await earnings, Fed decision",Yahoo,https://finnhub.io/api/news?id=fe3d916b63172bdac7bbdadf0a0466908982690657c410c289dab4adddc31546,2026-01-26
AAPL,2026-01-26 18:11:00,Amazon Stock Has Trailed Tech Peers. Why It’s This Analyst’s Top Pick.,Yahoo,https://finnhub.io/api/news?id=5bf87cf9862428546d5dec5125bd9bcea5dab495c5be559417bea1b4f50582d7,2026-01-26
AAPL,2026-01-26 18:00:00,The 1 Thing You Need to Watch in Apple's Earnings Report,Yahoo,https://finnhub.io/api/news?id=ddf4b4f83e89b8e7212219ee96ea995c7c935128ec56f8d2351c0b33ca81aace,2026-01-26
AAPL,2026-01-26 15:20:01,Stock Market Today: Dow Rises Despite Schumer Shutdown Call; Tesla Drops (Live Coverage),Yahoo,https://finnhub.io/api/news?id=66a9976c4192b0afee39e8836ac7d4cae9852e80af8383c2d759a950e150d986,2026-01-26
AAPL,2026-01-26 17:08:00,Tesla and 3 More Mag 7 Stocks Report Earnings This Week. What the Options Market Predicts.,Yahoo,https://finnhub.io/api/news?id=1aa0c67b990509c10de078ec9fc4dcee9d79a6a08c505e6afd7fd345b1dae305,2026-01-26
AAPL,2026-01-26 17:07:55,Goldman Sachs: Thank God The Apple Saga Is Over,SeekingAlpha,https://finnhub.io/api/news?id=b6ddfd5f96b1d960af2d1b2b2cac3def2670b02af043b67b74cec1707166bb23,2026-01-26
AAPL,2026-01-26 17:06:22,The ‘Magnificent 7’ Are Off to a Mixed Start in 2026. Here’s What to Watch as Their Earnings Start,Yahoo,https://finnhub.io/api/news?id=e3866cc0be26417b33c2e6675caf38db369251cce446dda4dc780072f790f3d0,2026-01-26
AAPL,2026-01-26 16:55:59,"Apple Stock’s a Buy on the Dip, Says Goldman—Time to Act?",Yahoo,https://finnhub.io/api/news?id=40eab2d200629da8085ef14a020114efd0ad891ec5582dc763db7d63f9e0e30d,2026-01-26
